event	station	error_phi_1	phi	error_phi_2	error_dt_1	dt	error_dt_2	quality
2008.073.13.28.44	GUGE	-39	18	27	0.21	0.6	1.47	f
2008.210.21.37.32	GUGE	-62	-36	-7	0.21	0.6	0.84	f
2008.210.21.40.47	GUGE	-60	-16	3	0.21	0.4	1.05	f
2008.248.09.37.03	GUGE	-5	2	5	0.42	0.6	1.05	g
2008.248.16.09.51	GUGE	-84	-77	-76	1.05	1.4	1.89	g
2008.301.05.43.50	GUGE	-7	2	5	0.42	0.6	1.05	g
2008.327.18.49.42	GUGE	62	75	82	0.42	0.8	1.26	g
2009.019.03.35.18	GUGE	56	87	-84	0.63	1.2	2.32	f
2009.111.21.09.59	GUGE	-80	-15	7	0	0.2	1.05	f
2009.153.02.17.03	GUGE	-84	-82	-84	2.95	3	3.37	f
2009.281.02.12.39	GUGE	-11	-2	1	0.42	0.4	0.63	g
2009.281.21.16.13	GUGE	5	7	9	0.63	0.8	1.26	f
2009.304.19.09.51	GUGE	-7	-3	-3	0.63	0.6	0.84	g
2009.313.10.44.55	GUGE	-72	-33	-3	0.21	0.2	0.63	f
2010.014.16.22.35	GUGE	52	82	-86	0.21	0.2	0.63	g
2010.179.18.19.07	GUGE	-37	-10	-1	0.42	1	1.68	f
2011.026.17.03.30	GUGE	-13	-1	1	0.42	0.6	0.84	g
2011.048.20.51.04	GUGE	-41	-4	3	0.21	0.4	0.84	f
2007.196.09.27.34	MONS	-90	-86	-86	1.47	1.6	1.89	f
2007.213.17.08.51	MONS	-92	-85	-84	1.05	1.6	2.11	f
2007.215.00.41.14	MONS	-60	-52	-50	0.84	1	1.26	f
2007.270.19.57.44	MONS	82	-83	-80	0.63	1.2	1.89	f
2007.286.17.45.53	MONS	-92	-85	-84	0.84	1	1.47	g
2007.289.21.05.43	MONS	-90	-83	-82	1.05	1.4	1.68	g
2007.323.15.20.03	MONS	84	-86	-86	0.63	0.8	1.05	g
2007.324.15.28.24	MONS	72	80	88	0.84	1	1.26	f
2007.343.07.28.20	MONS	88	90	-90	1.05	1.2	1.47	g
2008.005.11.01.06	MONS	5	9	11	2.95	3.2	3.79	f
2008.072.11.36.55	MONS	21	-88	-80	0.21	0.6	1.68	f
2008.078.08.22.47	MONS	80	85	-92	0.84	1	1.26	g
2008.110.05.58.42	MONS	-92	-86	-84	0.84	1.2	1.47	g
2008.252.03.03.15	MONS	-86	-82	-84	1.26	1.4	1.47	f
2008.307.15.00.55	MONS	27	37	74	0.42	0.8	1.89	f
2008.312.07.19.35	MONS	88	-90	-88	1.26	1.4	1.89	g
2008.344.17.28.58	MONS	-88	-85	-86	1.47	1.4	1.68	g
2009.002.19.42.27	MONS	31	54	80	0.63	0.8	1.26	f
2009.049.21.53.45	MONS	66	89	-84	0.42	1	1.68	f
2009.055.12.39.41	MONS	86	88	-92	1.26	1.4	1.68	g
2009.136.00.53.51	MONS	80	-88	-86	0.63	1	1.26	g
2009.153.02.17.03	MONS	-88	-83	-84	1.47	1.6	1.89	f
2009.153.02.26.53	MONS	25	85	-82	0.21	0.4	1.05	f
2009.154.18.54.38	MONS	-82	-68	-62	0.63	0.8	1.05	f
2009.163.09.44.15	MONS	-90	-85	-86	1.05	1.4	1.68	g
2009.217.08.31.40	MONS	56	70	-66	0.42	0.6	1.05	f
2009.281.02.12.39	MONS	-90	-88	-88	2.11	2.2	2.53	f
2009.343.09.46.03	MONS	86	-87	-84	0.84	1.2	1.68	g
2010.250.12.48.57	MONS	-46	-38	-33	1.05	1.2	1.26	f
2007.198.09.39.27	NOCO	31	51	82	0.42	0.6	1.26	f
