event	station	error_phi_1	phi	error_phi_2	error_dt_1	dt	error_dt_2	quality
2009.281.21.16.13	SQAH	29	47	76	0.42	0.4	0.63	f
2009.285.09.37.21	SQAH	56	76	-92	0.42	0.6	1.05	f
2009.285.20.59.38	SQAH	46	56	68	0.42	0.4	0.42	g
2009.290.13.18.40	SQAH	43	57	74	0.42	0.4	0.63	f
2009.304.19.09.51	SQAH	41	54	68	0.63	0.6	0.63	g
2009.321.15.30.47	SQAH	-90	-83	-84	0.84	1	1.26	f
2009.326.07.48.20	SQAH	52	67	76	0.42	0.6	0.63	g
2009.328.12.47.15	SQAH	50	76	-92	0.21	0.4	0.63	g
2010.015.10.14.02	SQAH	35	45	70	0.63	1	1.68	f
2010.038.22.28.20	SQAH	52	63	76	0.63	0.6	0.84	g
2010.100.16.54.24	SQAH	64	79	86	0.42	0.6	0.63	g
2010.135.15.18.13	SQAH	74	78	88	0.63	0.6	0.84	f
2010.183.06.04.03	SQAH	50	69	80	0.42	0.6	0.63	g
2010.222.23.18.31	SQAH	46	56	68	0.42	0.6	0.63	g
2010.246.16.35.47	SQAH	64	76	86	0.63	0.6	0.84	g
2010.247.08.52.04	SQAH	35	77	86	0.21	0.4	0.63	f
2010.289.13.27.45	SQAH	17	28	46	0.42	1	1.89	f
2010.289.20.08.30	SQAH	17	28	56	0.42	0.8	1.89	f
2010.307.23.34.42	SQAH	35	48	64	0.42	0.6	0.84	f
2010.362.08.34.17	SQAH	66	79	86	0.63	0.8	0.84	g
2011.009.10.03.43	SQAH	52	79	-88	0.42	0.8	1.47	f
2011.009.14.54.43	SQAH	68	75	84	1.05	1.4	1.68	f
2009.275.01.07.39	WT01	39	73	86	0.42	0.6	1.05	g
2009.275.15.47.09	WT01	-72	-63	-56	0.84	1.2	1.68	f
2009.280.22.03.14	WT01	37	72	86	0.21	0.4	0.63	g
2009.284.03.12.13	WT01	31	42	68	0.42	0.8	1.26	f
2009.284.04.47.51	WT01	39	66	-92	0.42	0.4	0.63	g
2009.285.20.59.38	WT01	23	43	-92	0.21	0.6	1.26	f
2009.296.15.14.13	WT01	27	35	48	0.42	0.6	0.84	f
2009.306.10.47.13	WT01	72	77	82	0.84	0.8	0.84	g
2009.322.01.42.47	WT01	-17	-9	-7	0.84	1	1.05	f
2009.327.18.36.34	WT01	17	54	-86	0.21	0.2	0.84	f
2009.328.12.47.15	WT01	35	53	74	0.42	0.6	0.84	f
2010.024.18.15.09	WT01	52	72	84	0.42	0.4	0.63	g
2010.044.02.34.28	WT01	41	75	-90	0.21	0.4	0.84	f
2010.063.14.02.27	WT01	64	76	84	0.42	0.4	0.42	g
2010.222.05.23.44	WT01	84	87	-88	0.63	0.6	0.84	g
2010.222.23.18.31	WT01	72	79	86	0.42	0.4	0.42	g
2010.289.13.27.45	WT01	68	77	88	0.63	1	1.47	f
2010.289.20.08.30	WT01	78	81	86	0.84	1	1.26	f
2011.009.10.03.43	WT01	86	88	-90	0.63	0.6	0.63	g
2011.013.16.16.41	WT01	54	85	-86	0.42	0.8	1.26	f
2011.023.19.15.42	WT01	86	90	-90	0.63	0.8	1.05	g
2011.026.17.03.30	WT01	37	62	-90	0.21	0.2	0.63	f
2011.048.20.51.04	WT01	58	81	-92	0.42	0.6	0.84	g
2011.052.10.57.52	WT01	66	78	-92	0.42	0.4	0.63	g
2009.230.21.20.47	WT02	37	48	74	0.21	0.4	0.42	g
2009.280.22.03.14	WT02	13	30	56	0	0.2	1.26	f
2009.306.10.47.13	WT02	21	49	-92	0.21	0.2	0.63	f
2009.326.07.48.20	WT02	76	81	88	0.42	0.4	0.42	g
2010.024.18.15.09	WT02	50	74	-92	0.42	0.4	0.63	g
2010.038.22.28.20	WT02	50	72	86	0.21	0.4	0.42	g
2010.044.02.34.28	WT02	19	79	-82	0	0.2	1.05	f
2010.048.19.38.06	WT02	68	74	82	1.05	1.2	1.47	g
2010.362.08.34.17	WT02	54	70	84	0.42	0.4	0.42	g
2011.026.17.03.30	WT02	76	88	-86	0	0.2	0.63	f
2011.031.06.03.27	WT02	68	75	82	0.42	0.4	0.42	g
2011.043.17.57.56	WT02	46	78	-92	0.21	0.4	0.42	f
2011.052.10.57.52	WT02	48	72	86	0.42	0.4	0.42	g
2011.052.23.51.42	WT02	58	77	-88	0.42	0.4	0.63	f
2011.079.15.20.28	WT02	50	66	86	0.42	0.4	0.42	g
2011.108.13.03.02	WT02	82	-81	-74	0.42	0.6	1.05	f
2009.272.17.48.10	WT03	-29	-14	-7	0.84	1.4	2.11	f
2009.275.15.47.09	WT03	-23	-8	-1	0.63	1	1.47	g
2009.280.22.03.14	WT03	-9	-2	3	0.84	1	1.47	f
2009.281.02.12.39	WT03	-9	-5	1	0.63	0.6	0.84	g
2009.281.08.28.47	WT03	-52	-9	5	0.21	0.6	1.68	f
2009.281.21.16.13	WT03	-11	-2	1	0.63	0.8	1.05	g
2009.364.18.48.57	WT03	-56	-36	-11	0.42	0.6	0.84	f
2010.010.00.27.39	WT03	-50	-35	-25	0.63	0.6	0.84	f
2010.015.10.14.02	WT03	1	8	11	1.68	2	2.53	f
2010.025.21.38.55	WT03	-29	-23	-21	1.47	1.6	1.89	g
2010.027.17.42.45	WT03	13	25	41	0.42	0.6	0.84	f
2010.038.22.28.20	WT03	-21	-13	-11	1.47	1.6	1.89	f
2010.077.06.28.50	WT03	9	16	23	1.05	1.2	1.47	g
2010.101.09.40.25	WT03	50	55	64	2.53	2.8	3.16	f
2010.102.10.23.12	WT03	-15	-5	3	1.05	1.4	1.89	f
2010.177.05.30.19	WT03	-64	-43	-11	0.42	0.6	0.84	g
2010.203.05.03.56	WT03	-15	-5	1	1.26	1.6	2.32	f
2010.222.05.23.44	WT03	-72	-49	11	0.21	0.2	0.84	f
2010.223.20.20.11	WT03	5	10	11	0.84	1.2	1.68	f
2011.005.06.46.14	WT03	-11	-1	3	0.84	1.2	1.68	g
2011.009.10.03.43	WT03	-9	6	11	0.42	1	1.89	f
2011.081.13.31.27	WT03	-13	-6	-3	0.63	0.6	0.84	g
2011.085.22.49.40	WT03	-35	-12	-7	0.42	0.8	1.26	f
2009.272.17.48.10	WT06	-21	-13	-9	2.53	3	3.58	f
2009.272.23.45.03	WT06	66	72	76	1.68	2	2.53	f
2009.280.22.03.14	WT06	80	86	-92	0.84	1	1.47	f
2009.281.02.12.39	WT06	72	81	88	0.63	0.8	1.05	g
2009.281.08.28.47	WT06	68	83	-92	0.63	1	1.47	g
2009.281.21.16.13	WT06	82	84	-92	0.84	1	1.26	g
2009.281.23.35.43	WT06	35	83	-86	0.21	0.4	0.84	f
2009.284.03.12.13	WT06	80	86	-90	0.63	0.8	1.05	g
2009.285.20.59.38	WT06	86	87	-92	1.26	1.4	1.68	g
2009.304.19.09.51	WT06	82	83	86	0.84	0.8	0.84	g
2009.308.18.41.43	WT06	48	63	-86	0.21	1.2	2.11	f
2009.313.10.44.55	WT06	84	86	88	1.05	1.2	1.47	g
2009.327.18.36.34	WT06	60	82	-90	0.42	0.6	1.05	g
2010.010.00.27.39	WT06	82	-81	-78	0.42	0.8	1.26	g
2010.024.18.15.09	WT06	74	82	-92	1.05	1.2	1.47	g
2010.035.20.20.21	WT06	-90	-79	-78	0.42	0.8	1.26	f
2010.038.22.28.20	WT06	74	82	-90	0.84	1	1.47	f
2010.048.19.38.06	WT06	82	90	-86	1.05	1.2	1.68	f
2010.063.14.02.27	WT06	78	82	88	1.05	1.2	1.47	f
2010.100.16.54.24	WT06	62	84	-86	0.42	0.8	1.47	f
2010.101.09.40.25	WT06	62	65	70	1.26	1.2	1.26	g
2010.119.23.48.07	WT06	-11	-2	1	1.05	1.2	1.26	f
2010.147.17.14.46	WT06	74	86	-88	0.63	0.8	1.26	g
2010.153.18.51.07	WT06	56	73	88	0.42	0.8	1.26	f
2010.177.05.30.19	WT06	52	-87	-80	0.21	0.8	3.16	f
2010.181.04.31.02	WT06	82	87	-90	1.26	1.4	1.68	f
2010.203.05.03.56	WT06	76	83	-92	0.84	1.2	1.47	f
2010.222.23.18.31	WT06	84	87	-92	0.84	1	1.26	g
2010.223.20.20.11	WT06	48	64	80	0.42	0.6	0.84	f
2010.247.08.52.04	WT06	-9	-6	-3	0.63	0.8	1.05	f
2010.289.20.08.30	WT06	78	81	86	1.26	1.4	1.68	f
2010.306.23.08.07	WT06	68	-86	-78	0.21	0.6	1.05	f
2010.307.23.34.42	WT06	74	77	84	1.05	1.2	1.47	f
2010.335.16.01.27	WT06	19	77	-90	0.21	0.6	1.26	f
2010.359.13.16.37	WT06	76	85	-92	1.05	1.2	1.47	g
2010.362.08.34.17	WT06	62	74	88	0.84	1.2	1.47	f
2010.363.06.54.19	WT06	54	63	74	1.05	1.2	1.68	f
2011.009.10.03.43	WT06	88	-86	-82	0.63	1	1.47	g
2011.013.16.16.41	WT06	76	81	-92	1.05	1.2	1.68	g
2011.026.17.03.30	WT06	68	74	80	0.63	0.6	0.84	g
2011.048.20.51.04	WT06	80	83	-92	1.05	1	1.26	g
2011.052.10.57.52	WT06	86	88	-92	1.05	1	1.05	g
2011.093.14.07.09	WT06	80	81	84	1.26	1.2	1.26	g
2011.108.13.03.02	WT06	64	79	-92	0.63	0.8	0.84	g
2011.113.04.16.54	WT06	82	87	-90	0.63	0.8	1.05	g
2011.130.08.55.08	WT06	74	75	80	0.84	0.8	0.84	g
2009.275.01.07.39	WT07	54	64	76	1	1.2	1.6	f
2009.306.10.47.13	WT07	74	85	-92	1	1.4	1.8	g
2010.289.20.08.30	WT07	70	72	80	1.2	1.4	1.8	g
2011.108.13.03.02	WT07	88	-85	-84	1.2	1.4	1.6	g
2009.245.18.00.09	WT08	56	67	80	0.42	0.4	0.63	g
2009.277.17.09.53	WT08	-31	-22	-15	0.63	0.8	1.05	f
2009.282.13.12.32	WT08	33	41	54	0.42	0.4	0.42	f
2009.306.10.47.13	WT08	76	87	-88	0.42	0.8	1.47	g
2009.312.15.46.09	WT08	33	61	-92	0.21	0.4	0.84	g
2009.328.12.47.15	WT08	35	65	82	0.21	0.2	0.21	g
2009.343.09.46.03	WT08	35	47	58	0.63	0.6	0.84	f
2010.029.09.19.54	WT08	43	65	84	0.42	0.6	0.84	g
2010.100.16.54.24	WT08	72	77	84	0.42	0.6	0.63	g
2010.167.02.47.25	WT08	-27	-17	-11	1.05	1.2	1.68	f
2010.173.22.16.20	WT08	80	85	-92	2.74	2.6	2.95	f
2010.181.04.31.02	WT08	46	52	62	0.63	0.8	0.84	g
2010.222.05.23.44	WT08	43	84	-84	0.21	0.4	1.05	f
2010.222.23.18.31	WT08	25	86	-84	0.21	0.4	1.26	f
2010.289.20.08.30	WT08	17	36	-90	0.21	0.4	1.05	f
2010.326.16.18.43	WT08	84	-86	-84	0.84	1	1.26	g
2011.005.06.46.14	WT08	-92	-89	-88	0.84	0.8	1.05	g
2011.009.10.03.43	WT08	52	80	-88	0.42	0.6	1.05	f
2011.023.19.15.42	WT08	80	83	88	0.42	0.4	0.42	g
2011.043.17.57.56	WT08	48	66	78	0.42	0.4	0.42	g
2011.052.10.57.52	WT08	68	79	86	0.42	0.6	0.63	g
2011.076.08.03.00	WT08	46	86	-82	0.21	0.4	1.05	f
2011.108.13.03.02	WT08	66	73	82	0.63	0.6	0.84	g
2009.275.15.47.09	WT09	52	64	76	1.05	1.2	1.68	f
2009.280.22.03.14	WT09	52	75	88	0.63	1	1.47	g
2009.280.22.18.51	WT09	21	48	86	0.42	1	3.16	f
2009.281.02.12.39	WT09	64	70	74	0.84	0.8	0.84	g
2009.281.21.16.13	WT09	66	81	88	0.63	0.8	1.05	g
2009.282.07.33.28	WT09	48	63	78	0.63	0.8	1.05	g
2009.283.14.25.15	WT09	46	51	58	1.47	1.6	1.89	f
2009.284.04.47.51	WT09	29	71	-86	0.21	0.6	1.68	f
2009.285.09.37.21	WT09	70	82	-92	0.84	1.2	1.89	f
2009.285.20.59.38	WT09	74	82	-92	0.84	1	1.47	g
2009.287.18.00.21	WT09	29	47	68	0.84	1.2	1.68	f
2009.304.19.09.51	WT09	66	75	82	0.63	0.8	0.84	g
2009.312.15.46.09	WT09	62	72	86	0.63	0.8	1.05	g
2009.313.10.44.55	WT09	43	62	84	0.42	0.6	1.05	g
2009.316.02.13.37	WT09	37	42	54	0.84	1	1.26	g
2009.321.15.30.47	WT09	74	79	86	1.26	1.4	1.68	g
2009.326.07.48.20	WT09	54	63	78	0.63	0.6	0.84	g
2009.326.22.47.27	WT09	41	65	-86	0.42	0.6	1.05	f
2009.327.18.36.34	WT09	48	58	70	0.84	1	1.26	g
2009.328.12.47.15	WT09	35	58	78	0.63	0.6	0.84	g
2009.335.19.42.58	WT09	54	61	70	0.84	0.8	1.05	g
2009.343.09.46.03	WT09	64	68	76	1.05	1	1.05	g
2010.015.10.14.02	WT09	68	80	-92	1.05	1.4	2.11	g
2010.048.19.38.06	WT09	52	64	80	0.84	1	1.26	f
2010.063.14.02.27	WT09	78	85	-92	0.84	1	1.26	g
2010.100.16.54.24	WT09	25	52	86	0.42	0.6	1.26	g
2010.119.23.48.07	WT09	76	-90	-56	0.42	0.6	1.05	g
2010.135.15.18.13	WT09	31	50	72	0.42	0.6	1.05	f
2010.147.17.14.46	WT09	41	75	-88	0.42	0.6	1.47	g
2010.222.05.23.44	WT09	58	74	82	0.63	0.8	1.05	g
2010.222.23.18.31	WT09	68	73	80	0.84	0.8	1.05	g
2010.289.13.27.45	WT09	52	71	88	0.84	1.4	2.32	f
2010.289.20.08.30	WT09	37	51	66	0.84	1	1.26	f
2010.326.16.18.43	WT09	68	74	84	0.84	0.8	1.05	g
2010.360.19.38.21	WT09	37	45	54	1.05	1.2	1.68	f
2011.005.06.46.14	WT09	70	78	84	0.84	1	1.26	g
2011.009.10.03.43	WT09	72	77	88	0.84	0.8	1.05	f
2011.013.16.16.41	WT09	52	76	-90	0.63	0.8	1.05	f
2011.031.06.03.27	WT09	39	56	72	0.63	0.8	1.05	f
2011.052.10.57.52	WT09	56	66	82	0.63	0.6	0.84	g
2011.052.23.51.42	WT09	60	71	86	0.84	1.2	1.89	f
2011.076.02.48.00	WT09	35	64	-92	0.42	0.6	1.05	f
2011.093.14.07.09	WT09	72	73	76	0.84	0.8	0.84	g
2011.095.04.10.07	WT09	43	51	64	0.84	1	1.26	g
2011.108.13.03.02	WT09	66	81	-92	0.84	1	1.26	g
2011.124.16.13.28	WT09	41	66	86	0.42	0.6	1.05	f
2011.130.08.55.08	WT09	48	66	84	0.63	0.8	1.05	f
2009.245.18.00.09	WT12	78	83	-92	0.63	0.8	1.05	f
2009.281.08.28.47	WT12	13	86	-82	0	0.2	1.47	f
2009.316.02.13.37	WT12	27	83	-86	0.21	0.6	1.47	f
2010.015.10.14.02	WT12	-88	-79	-78	1.26	1.6	2.32	f
2010.044.02.34.28	WT12	86	90	-90	1.26	1.8	2.32	f
2010.053.05.08.49	WT12	64	71	78	2.53	2.8	3.16	f
2010.053.07.24.45	WT12	-50	-42	-37	2.11	2.4	2.74	f
2010.053.08.42.39	WT12	-46	-32	-23	0.84	1	1.26	f
2010.094.20.28.04	WT12	25	29	31	1.89	2	2.32	f
2010.094.22.40.43	WT12	-72	-39	7	0.21	0.6	2.11	f
2010.102.10.23.12	WT12	-84	-59	-52	0.63	1	1.47	g
2010.117.17.17.09	WT12	-68	-59	-56	2.11	2.2	2.74	f
2010.152.16.47.32	WT12	46	72	-92	0.42	1	1.47	f
2010.206.03.39.17	WT12	74	79	84	1.26	1.6	2.11	f
2010.223.20.20.11	WT12	64	73	82	1.05	1.2	1.68	f
2010.228.19.35.49	WT12	66	75	84	0.84	1.2	1.68	g
2011.005.06.46.14	WT12	82	-85	-82	0.63	1.2	1.89	g
2011.009.10.03.43	WT12	86	-84	-84	0.63	1.2	2.11	f
2011.009.14.54.43	WT12	5	10	13	1.89	2.6	3.58	f
2011.027.04.00.36	WT12	76	78	84	3.37	3.4	3.79	f
2011.052.10.57.52	WT12	-92	-85	-84	0.84	1	1.47	g
2011.108.13.03.02	WT12	78	82	-92	0.84	0.8	0.84	g
2011.130.08.55.08	WT12	-84	-80	-80	1.47	1.8	2.53	f
2009.282.07.33.28	WT13	-7	-3	-3	1.47	1.6	1.89	f
2009.285.20.59.38	WT13	82	86	-92	1.05	1.2	1.68	f
2009.321.15.30.47	WT13	88	-89	-90	1.68	1.8	2.11	g
2010.246.16.35.47	WT13	60	84	-72	0.42	0.6	1.05	f
2010.360.02.13.37	WT13	74	86	-90	0.63	1	1.47	f
2010.363.06.54.19	WT13	62	76	88	0.63	0.8	1.26	g
2010.363.07.02.17	WT13	39	52	64	1.89	2.4	3.58	f
2011.005.06.46.14	WT13	68	76	86	0.63	0.8	0.84	f
2011.009.10.03.43	WT13	-90	-83	-84	1.26	1.4	1.68	f
2011.009.13.00.14	WT13	-19	-89	3	2.74	2.8	3.79	f
2011.013.16.16.41	WT13	68	72	80	1.68	1.8	2.11	f
2011.023.19.15.42	WT13	80	83	88	1.26	1.4	1.47	f
2011.085.22.49.40	WT13	68	74	82	1.05	1.2	1.47	g
2011.108.13.03.02	WT13	58	74	-90	0.84	1.2	1.68	f
2009.245.18.00.09	WT14	60	65	70	0.84	0.8	0.84	g
2009.275.01.07.39	WT14	11	66	88	0.21	0.2	0.63	f
2009.281.02.12.39	WT14	25	58	86	0.21	0.2	0.42	f
2009.281.10.11.07	WT14	-92	-84	-84	1.05	2	3.37	f
2009.281.21.16.13	WT14	70	79	86	0.42	0.4	0.42	g
2009.282.07.33.28	WT14	58	81	-88	0.21	0.4	0.84	f
2009.282.09.14.42	WT14	35	58	82	0.42	0.8	1.05	f
2009.313.10.44.55	WT14	62	81	-92	0.42	0.6	0.84	g
2009.326.07.48.20	WT14	82	83	86	0.84	0.8	0.84	g
2009.328.12.47.15	WT14	76	80	-92	0.42	0.6	0.84	g
2009.343.09.46.03	WT14	-90	-84	-82	1.26	1.8	2.74	f
2010.015.10.14.02	WT14	74	77	82	1.26	1.2	1.26	g
2010.201.17.19.50	WT14	23	42	56	0.63	1.4	2.11	f
2010.222.05.23.44	WT14	76	82	-92	0.63	0.6	0.84	g
2010.222.23.18.31	WT14	78	82	88	0.63	0.6	0.84	g
2010.246.16.35.47	WT14	74	88	-78	0.63	0.8	1.26	f
2010.326.16.18.43	WT14	80	89	-86	0.84	1.2	1.68	g
2010.362.08.34.17	WT14	72	75	82	0.84	0.8	0.84	f
2011.005.06.46.14	WT14	76	78	86	0.84	0.8	1.05	g
2011.013.16.16.41	WT14	54	70	84	1.05	1.4	1.89	f
2011.023.19.15.42	WT14	80	83	86	0.84	0.8	0.84	g
2011.026.17.03.30	WT14	80	83	-92	0.63	0.6	0.84	f
2011.027.04.00.36	WT14	37	56	76	0.42	0.6	0.84	f
2011.043.17.57.56	WT14	74	77	82	0.63	0.6	0.84	g
2011.052.10.57.52	WT14	70	73	76	0.84	0.8	0.84	g
2011.076.08.03.00	WT14	70	78	86	0.63	0.6	0.84	f
2011.093.14.07.09	WT14	78	81	84	0.63	0.8	0.84	g
2011.108.13.03.02	WT14	78	82	88	1.05	1	1.05	g
2011.130.10.24.17	WT14	60	78	-90	0.63	1	1.89	f
2009.245.18.00.09	WT15	82	85	88	0.84	0.8	0.84	g
2009.272.23.45.03	WT15	27	45	72	0.42	0.6	0.84	f
2009.281.08.28.47	WT15	78	-86	-84	0.21	0.8	1.68	f
2009.284.03.12.13	WT15	82	-89	-86	0.63	1	1.47	g
2009.306.10.47.13	WT15	50	68	82	0.42	0.6	0.84	g
2009.308.18.41.43	WT15	66	80	-74	0.42	0.6	0.84	f
2009.313.10.44.55	WT15	33	61	-90	0.21	0.2	0.63	f
2009.326.22.47.27	WT15	39	58	86	0.42	0.8	1.26	f
2009.328.12.47.15	WT15	78	84	-92	0.63	0.8	1.05	g
2009.345.12.33.39	WT15	60	71	84	0.84	1	1.47	f
2009.364.18.48.57	WT15	46	56	70	0.84	1.2	1.47	f
2010.015.10.14.02	WT15	50	61	80	0.63	0.8	1.05	g
2010.024.18.15.09	WT15	82	-85	-82	0.63	1.2	1.89	f
2010.027.17.42.45	WT15	-1	17	60	0.21	0.8	1.68	f
2010.035.20.20.21	WT15	25	32	35	1.26	1.6	2.32	f
2010.038.22.28.20	WT15	88	89	-90	1.05	1.2	1.47	f
2010.044.02.34.28	WT15	88	-88	-90	1.05	1.4	1.89	f
2010.100.16.54.24	WT15	-7	-1	-1	2.53	2.6	2.95	f
2010.102.10.23.12	WT15	66	84	-46	0.21	0.6	1.47	f
2010.119.23.48.07	WT15	64	67	74	0.84	1.4	2.11	f
2010.201.21.06.38	WT15	35	39	43	1.47	1.6	2.11	f
2010.212.11.36.56	WT15	48	59	68	0.84	1.2	1.47	g
2010.222.05.23.44	WT15	-88	-84	-86	1.05	1.2	1.47	f
2010.222.23.18.31	WT15	-90	-82	-84	1.05	1.8	2.74	f
2010.228.19.35.49	WT15	39	67	88	0.42	0.6	1.05	f
2010.246.16.35.47	WT15	68	80	-88	0.63	0.6	0.84	g
2010.248.23.48.26	WT15	-9	-4	-1	3.58	3.4	3.79	f
2010.259.01.54.40	WT15	-7	-2	-3	2.53	2.8	3.58	f
2010.279.19.43.38	WT15	-21	-4	1	0.42	1	1.68	f
2010.285.12.02.55	WT15	37	64	86	0.42	0.6	1.05	f
2010.289.20.08.30	WT15	68	76	84	0.42	0.6	0.84	g
2010.307.23.34.42	WT15	1	2	7	1.89	2.4	2.95	f
2010.326.16.18.43	WT15	70	83	-90	0.63	1	1.26	f
2010.359.13.16.37	WT15	60	90	-84	0.42	0.6	1.26	f
2010.363.06.54.19	WT15	82	-88	-86	0.84	1.2	1.89	f
2010.364.14.36.54	WT15	-41	-16	-5	0.84	1.6	2.53	f
2010.365.16.30.54	WT15	-25	-16	-13	3.37	3.4	3.79	f
2011.009.10.03.43	WT15	-92	-85	-82	0.63	0.8	1.26	f
2011.009.14.54.43	WT15	-60	-51	-48	1.68	1.8	2.32	f
2011.009.17.21.51	WT15	86	-85	-86	0.84	1.2	1.68	g
2011.013.16.16.41	WT15	62	-85	-80	0.42	1	1.89	f
2011.027.04.00.36	WT15	-74	-56	-5	0.21	0.4	1.05	f
2011.052.10.57.52	WT15	62	69	78	0.63	0.6	0.84	f
2011.079.15.20.28	WT15	86	89	-90	1.05	1	1.26	g
2011.108.13.03.02	WT15	80	84	-92	0.84	0.8	0.84	g
2011.130.08.55.08	WT15	82	-90	-88	0.63	0.8	1.05	g
2009.275.15.47.09	WT16	76	78	84	1.68	1.8	2.11	g
2009.282.09.14.42	WT16	68	86	-90	0.42	0.8	1.26	f
2009.282.13.12.32	WT16	80	83	-92	1.05	1.2	1.47	f
2009.284.03.12.13	WT16	60	88	-82	0.63	1.4	2.53	f
2009.284.04.47.51	WT16	78	83	-92	1.05	1.2	1.68	g
2009.290.13.18.40	WT16	88	89	-92	1.26	1.2	1.26	f
2009.318.09.50.45	WT16	66	76	86	0.63	0.8	1.05	f
2009.343.09.46.03	WT16	78	84	-90	1.05	1.2	1.68	g
2009.350.12.36.38	WT16	70	74	82	1.47	1.6	1.89	g
2010.050.11.13.19	WT16	66	75	82	0.63	0.8	1.05	g
2010.135.15.18.13	WT16	76	82	88	0.63	0.8	1.05	g
2010.183.06.04.03	WT16	80	83	88	1.26	1.4	1.47	f
2010.189.12.48.21	WT16	80	82	84	1.05	1	1.05	f
2010.203.05.03.56	WT16	29	66	88	0.21	0.4	0.63	f
2010.222.05.23.44	WT16	35	54	76	0.42	0.6	0.84	f
2010.222.23.18.31	WT16	86	87	-92	1.26	1.2	1.47	f
2011.035.14.20.55	WT16	41	58	74	0.84	1.2	1.47	g
2009.281.21.16.13	WT17	-88	-85	-86	1.26	1.4	1.68	f
2009.284.03.12.13	WT17	35	53	-92	0.42	0.6	0.84	f
2009.301.23.56.40	WT17	-52	-36	-27	1.05	1.2	1.68	f
2009.321.15.30.47	WT17	82	89	-90	1.05	1.4	1.68	g
2010.024.18.15.09	WT17	88	-89	-88	1.05	1.4	1.89	g
2010.027.17.42.45	WT17	-64	-49	-39	1.05	1.2	1.68	f
2010.044.02.34.28	WT17	-90	-86	-88	2.11	2	2.32	f
2010.152.16.47.32	WT17	-15	-4	3	0.84	1.2	1.68	f
2011.005.06.46.14	WT17	-90	-85	-86	1.26	1.4	1.68	g
2011.009.10.03.43	WT17	-90	-84	-88	2.11	2.2	2.53	f
2011.108.13.03.02	WT17	-88	-80	-78	1.05	1.2	1.68	g
2011.113.04.16.54	WT17	84	86	-90	0.84	0.8	1.05	g
2009.281.21.16.13	WT19	15	-81	-80	0	1.2	3.16	f
2009.308.18.41.43	WT19	-1	11	23	0.84	1	1.47	f
2009.321.15.30.47	WT19	58	-83	-80	0.42	1.2	2.32	g
2009.364.18.48.57	WT19	56	89	-82	0.21	0.4	1.05	f
2010.183.06.04.03	WT19	-90	-84	-86	0.63	0.8	1.05	g
2009.281.02.12.39	WT20	-9	-5	-5	1.26	1.2	1.47	f
2009.281.08.28.47	WT20	-11	-4	1	0.84	1	1.47	g
2009.281.10.11.07	WT20	-70	-49	-13	0.42	0.8	1.47	f
2009.281.21.16.13	WT20	-11	-2	-3	1.05	1.2	1.47	g
2009.284.04.47.51	WT20	-27	-6	5	0.42	0.6	1.26	f
2009.285.09.37.21	WT20	-23	-1	5	0.42	1	1.68	g
2009.285.20.59.38	WT20	-21	-13	-9	1.26	1.4	1.89	f
2009.287.18.00.21	WT20	-58	-40	-23	0.63	1	1.26	f
2009.296.15.14.13	WT20	-13	-7	-5	1.05	1	1.26	g
2009.306.10.47.13	WT20	-7	-1	-1	1.26	1.4	1.68	f
2009.312.15.46.09	WT20	-5	2	7	0.63	0.8	1.26	f
2009.313.10.44.55	WT20	-19	-12	-11	1.05	1	1.26	g
2010.010.00.27.39	WT20	-56	-27	1	0.21	0.4	0.84	f
2010.024.18.15.09	WT20	-43	-14	-1	0.42	0.6	1.05	f
2010.035.20.20.21	WT20	-25	-3	1	0.63	0.8	1.05	g
2010.040.01.03.44	WT20	17	42	84	0.42	0.6	1.47	f
2010.044.02.34.28	WT20	-15	-7	-5	0.84	1	1.26	f
2010.048.19.38.06	WT20	-46	-14	3	0.63	1	1.68	f
2010.058.19.54.28	WT20	82	-85	-78	1.05	1.6	2.32	f
2010.101.02.19.06	WT20	-11	-4	-3	0.84	1	1.26	f
2010.135.15.18.13	WT20	-35	-25	-19	0.84	0.8	0.84	g
2010.222.05.23.44	WT20	-7	-1	-1	1.05	1.2	1.47	f
2010.222.23.18.31	WT20	-11	-5	-5	1.05	1	1.26	g
2010.223.20.20.11	WT20	-19	-9	-5	1.47	1.8	2.53	f
2010.228.19.35.49	WT20	-27	-12	-7	0.84	1	1.26	f
2010.247.08.52.04	WT20	70	72	80	1.05	1.2	1.47	f
2010.248.23.48.26	WT20	-19	-13	-9	0.84	1	1.26	g
2010.326.16.18.43	WT20	-13	8	19	0.42	1	2.11	f
2010.360.02.13.37	WT20	-64	-33	5	0.21	0.6	1.26	f
2010.361.17.02.32	WT20	-7	11	31	0.63	0.8	1.26	f
2010.361.19.40.12	WT20	-60	-44	-21	0.42	0.8	1.26	f
2010.362.08.34.17	WT20	-25	-11	-5	0.63	1	1.47	f
2010.363.06.54.19	WT20	-19	-3	5	0.63	1	1.47	f
2011.010.02.11.09	WT20	-39	-23	-13	0.63	0.8	1.05	f
2011.026.17.03.30	WT20	-11	-8	-5	1.05	1.2	1.47	g
2011.052.10.57.52	WT20	-11	0	1	0.84	1	1.05	g
2011.076.08.03.00	WT20	-1	1	3	1.05	1.2	1.26	g
2011.079.15.20.28	WT20	-15	0	3	0.63	0.8	1.05	g
2011.093.14.07.09	WT20	-21	-15	-13	0.84	0.8	0.84	g
